risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
operation,China,strike,"""China"" strike",中華電 ： AI相關營收翻倍 、 衛星訂單逾10億 | 產經,https://www.cna.com.tw:443/news/afe/202605130167.aspx,cna.com.tw,Chinese,,20260513T071500Z,2026-05-15T04:06:38.868205
operation,China,strike,"""China"" strike",三星罷工恐衝擊韓國經濟 外界關注緊急調整權 - 國際,https://news.cts.com.tw/cna/international/202605/202605133030954.html,news.cts.com.tw,Chinese,,20260513T074500Z,2026-05-15T04:06:38.868206
operation,China,strike,"""China"" strike",AI榮景下分配之爭 南韓政府拋 「 國民分紅 」 構想 - 國際,https://news.cts.com.tw/cts/international/202605/202605133031228.html,news.cts.com.tw,Chinese,,20260514T021500Z,2026-05-15T04:06:38.868210
operation,China,strike,"""China"" strike",大摩 ： 中国AI 2 . 0  进入应用兑现阶段 联想等AI硬件链获核心推荐 _ 新浪财经 _ 新浪网,https://finance.sina.com.cn/stock/bxjj/2026-05-12/doc-inhxrmyn9982113.shtml,finance.sina.com.cn,Chinese,,20260512T081500Z,2026-05-15T04:06:38.868212
operation,China,strike,"""China"" strike",CCTV reports confirm Chinese engineers provided technical support for Pakistan J - 10CE jets . ,https://www.mathrubhumi.com/news/world/operation-sindoor-india-pakistan-china-military-cooperation-cj3itc1n,mathrubhumi.com,Malayalam,,20260512T171500Z,2026-05-15T04:06:38.868214
operation,China,strike,"""China"" strike",不止惊艳 ！ 君佩×张艺兴把中国匠心带上戛纳红毯 _ 中华网,https://hea.china.com/articles/20260513/202605131867645.html,hea.china.com,Chinese,,20260513T093000Z,2026-05-15T04:06:38.868216
operation,China,strike,"""China"" strike",不止惊艳 ！ 君佩×张艺兴把中国匠心带上戛纳红毯 _ 中华网,https://hea.china.com/hea/20260513/202605131867680.html,hea.china.com,Chinese,,20260513T093000Z,2026-05-15T04:06:38.868218
operation,China,strike,"""China"" strike",不止惊艳 ！ 君佩×张艺兴把中国匠心带上戛纳红毯 _ 中华网,https://hea.china.com/articles/20260513/202605131867535.html,hea.china.com,Chinese,,20260513T093000Z,2026-05-15T04:06:38.868221
operation,China,strike,"""China"" strike",不止惊艳 ！ 君佩×张艺兴把中国匠心带上戛纳红毯 _ 中华网,https://tech.china.com/articles/20260513/202605131867889.html,tech.china.com,Chinese,,20260513T114500Z,2026-05-15T04:06:38.868223
operation,China,strike,"""China"" strike",伯揆跨界出任第79次戛纳国际电影节中国之夜中法文化艺术推荐官 _ 中华网,https://hea.china.com/articles/20260513/202605131867247.html,hea.china.com,Chinese,,20260513T050000Z,2026-05-15T04:06:38.868225
operation,China,strike,"""China"" strike",批中國拿飛安當政治籌碼 賴總統哥本哈根峰會發聲 ： 無法阻撓台灣走向世界 - 政治,https://news.ltn.com.tw/news/politics/breakingnews/5434789,news.ltn.com.tw,Chinese,,20260512T124500Z,2026-05-15T04:06:38.868227
operation,China,strike,"""China"" strike",莫干山品牌面对面丨李亚敏 ： 非遗+科技  赋能 让千年八义窑红绿彩走向世界 - 新华网,http://www.zj.xinhuanet.com/20260513/408115dacb084cf6a4b2511bc4725956/c.html,zj.xinhuanet.com,Chinese,,20260513T054500Z,2026-05-15T04:06:38.868229
operation,China,strike,"""China"" strike",川普总统两次访华 ， 紫禁城与天坛 | www . wenxuecity . com,https://www.wenxuecity.com/blog/202605/38662/8516.html,wenxuecity.com,Chinese,,20260514T180000Z,2026-05-15T04:06:38.868233
operation,China,strike,"""China"" strike",川普总统两次访华 ， 紫禁城与天坛 - 博客,https://blog.wenxuecity.com/myblog/38662/202605/8516.html,blog.wenxuecity.com,Chinese,,20260514T180000Z,2026-05-15T04:06:38.868235
operation,China,strike,"""China"" strike", 「 拳師號 」 抵達中東倒數計時 ！ 陸戰隊官兵進行快速反應演練,https://def.ltn.com.tw/article/breakingnews/5436401,def.ltn.com.tw,Chinese,,20260514T031500Z,2026-05-15T04:06:38.868236
